merchant_id,amount,currency,transaction_type,payment_method,customer_id,category,created_at,hour,day_of_week,status
merchant_techhive,1299.31,EUR,refund,bank_transfer,customer_4452,software_subscription,2026-08-07T12:07:43+00:00,12,4,successful
merchant_urbancart,1592.04,EUR,refund,upi,customer_3074,office_supplies,2026-08-04T11:43:42+00:00,11,1,successful
merchant_greenleaf,911.51,INR,payment,card,customer_6701,office_supplies,2026-08-07T10:07:01+00:00,10,4,successful
merchant_pixel_studio,2253.92,INR,payment,wallet,customer_5305,marketing,2026-07-28T15:35:42+00:00,15,1,successful
merchant_daily_grind_cafe,822.56,EUR,payment,netbanking,customer_3894,utilities,2026-08-13T14:24:49+00:00,14,3,pending
merchant_swiftgear,2263.01,EUR,payment,wallet,customer_1137,office_supplies,2026-08-26T04:37:39+00:00,4,2,successful
merchant_greenleaf,1680.3,INR,payment,card,customer_3727,utilities,2026-08-12T03:26:13+00:00,3,2,successful
merchant_urbancart,2263.25,INR,payment,upi,customer_3944,office_supplies,2026-08-12T23:51:42+00:00,23,2,successful
merchant_pixel_studio,428.33,INR,payment,wallet,customer_9935,food_delivery,2026-08-05T21:46:08+00:00,21,2,successful
merchant_pixel_studio,889.53,INR,payment,bank_transfer,customer_1069,groceries,2026-08-24T03:42:36+00:00,3,0,pending
merchant_urbancart,655.19,INR,payment,netbanking,customer_3411,office_supplies,2026-08-23T21:01:59+00:00,21,6,successful
merchant_freshbite,1474.55,INR,payment,card,customer_8776,groceries,2026-08-06T17:10:54+00:00,17,3,failed
merchant_pixel_studio,2146.61,USD,payment,netbanking,customer_6731,utilities,2026-08-14T03:13:46+00:00,3,4,successful
merchant_bluewave,2169.18,INR,payment,netbanking,customer_1780,office_supplies,2026-08-03T23:19:41+00:00,23,0,successful
merchant_greenleaf,755.42,USD,payment,card,customer_4750,office_supplies,2026-08-06T05:19:11+00:00,5,3,successful
merchant_swiftgear,1516.06,INR,payment,bank_transfer,customer_4129,software_subscription,2026-08-20T08:23:29+00:00,8,3,successful
merchant_daily_grind_cafe,1013.03,EUR,payment,card,customer_3025,software_subscription,2026-08-08T00:44:41+00:00,0,5,successful
merchant_swiftgear,33.32,INR,payment,wallet,customer_5960,groceries,2026-08-20T11:44:14+00:00,11,3,successful
merchant_daily_grind_cafe,1069.63,INR,payment,upi,customer_4495,software_subscription,2026-08-13T19:42:38+00:00,19,3,successful
merchant_freshbite,1234.71,USD,expense,card,customer_9046,marketing,2026-07-31T19:02:31+00:00,19,4,successful
merchant_swiftgear,1670.36,USD,payment,card,customer_8177,office_supplies,2026-08-03T04:38:11+00:00,4,0,successful
merchant_bluewave,1475.8,EUR,refund,netbanking,customer_9156,marketing,2026-08-01T19:06:34+00:00,19,5,pending
merchant_greenleaf,943.47,EUR,payment,upi,customer_4961,travel,2026-08-17T17:07:38+00:00,17,0,pending
merchant_pixel_studio,1132.24,INR,payment,netbanking,customer_2925,groceries,2026-08-08T09:22:54+00:00,9,5,successful
merchant_urbancart,2264.83,INR,expense,card,customer_3837,food_delivery,2026-08-12T02:52:44+00:00,2,2,failed
merchant_greenleaf,718.2,INR,payment,card,customer_7318,electronics,2026-08-18T05:04:54+00:00,5,1,successful
merchant_daily_grind_cafe,1186.17,EUR,payment,bank_transfer,customer_2019,office_supplies,2026-07-31T07:33:01+00:00,7,4,failed
merchant_freshbite,2476.12,EUR,payment,card,customer_4951,utilities,2026-08-24T13:27:59+00:00,13,0,successful
merchant_bluewave,1184.2,EUR,payment,wallet,customer_8392,office_supplies,2026-08-15T15:55:10+00:00,15,5,successful
merchant_pixel_studio,1762.01,USD,payment,bank_transfer,customer_4324,electronics,2026-07-30T22:31:44+00:00,22,3,successful
merchant_urbancart,395.15,INR,payment,upi,customer_2858,utilities,2026-08-11T14:28:11+00:00,14,1,successful
merchant_techhive,1428.85,USD,payment,netbanking,customer_6202,software_subscription,2026-07-28T15:59:55+00:00,15,1,successful
merchant_bluewave,103.82,INR,payment,card,customer_3097,food_delivery,2026-08-11T00:04:12+00:00,0,1,successful
merchant_freshbite,2299.3,USD,payment,card,customer_4187,food_delivery,2026-08-16T02:42:43+00:00,2,6,successful
merchant_bluewave,1632.49,EUR,refund,wallet,customer_6513,electronics,2026-08-09T11:08:25+00:00,11,6,successful
merchant_swiftgear,417.71,INR,payment,upi,customer_6339,electronics,2026-08-25T15:56:01+00:00,15,1,successful
merchant_pixel_studio,2020.07,USD,payment,card,customer_8953,marketing,2026-08-10T13:06:33+00:00,13,0,pending
merchant_bluewave,1099.51,INR,payment,upi,customer_8560,travel,2026-08-20T07:43:59+00:00,7,3,successful
merchant_urbancart,1843.38,USD,payment,bank_transfer,customer_9068,groceries,2026-08-22T22:21:34+00:00,22,5,successful
merchant_pixel_studio,1648.53,EUR,payment,bank_transfer,customer_1417,groceries,2026-08-23T01:37:35+00:00,1,6,successful
merchant_freshbite,2016.41,INR,payment,bank_transfer,customer_4063,marketing,2026-08-01T19:20:47+00:00,19,5,successful
merchant_urbancart,1186.19,EUR,payment,netbanking,customer_9413,software_subscription,2026-08-25T19:33:33+00:00,19,1,pending
merchant_techhive,1029.49,USD,refund,card,customer_8612,utilities,2026-08-07T08:53:52+00:00,8,4,successful
merchant_urbancart,1357.12,USD,payment,upi,customer_6171,groceries,2026-08-11T00:32:16+00:00,0,1,successful
merchant_bluewave,1585.41,EUR,payment,bank_transfer,customer_9383,software_subscription,2026-08-11T07:29:07+00:00,7,1,failed
merchant_daily_grind_cafe,1764.32,EUR,payment,bank_transfer,customer_5023,marketing,2026-08-01T03:59:14+00:00,3,5,successful
merchant_greenleaf,1820.72,INR,payment,wallet,customer_7840,utilities,2026-08-24T21:54:00+00:00,21,0,failed
merchant_urbancart,961.21,INR,refund,card,customer_5633,marketing,2026-07-31T22:09:34+00:00,22,4,successful
merchant_techhive,1296.68,EUR,refund,wallet,customer_2631,marketing,2026-08-06T23:05:33+00:00,23,3,failed
merchant_pixel_studio,1415.85,INR,payment,netbanking,customer_4718,utilities,2026-08-14T04:37:29+00:00,4,4,failed
merchant_daily_grind_cafe,1466.18,USD,payment,wallet,customer_7346,travel,2026-08-08T01:52:59+00:00,1,5,successful
merchant_techhive,68.27,USD,payment,netbanking,customer_7057,marketing,2026-08-08T15:25:06+00:00,15,5,successful
merchant_techhive,1708.1,USD,payment,netbanking,customer_7815,software_subscription,2026-08-26T03:05:05+00:00,3,2,successful
merchant_freshbite,38.91,EUR,chargeback,upi,customer_5385,marketing,2026-07-29T13:19:30+00:00,13,2,successful
merchant_freshbite,763.1,USD,payment,wallet,customer_6744,groceries,2026-08-26T18:14:41+00:00,18,2,successful
merchant_freshbite,401.0,EUR,refund,upi,customer_4154,electronics,2026-08-20T19:19:30+00:00,19,3,successful
merchant_techhive,1663.95,INR,payment,netbanking,customer_3339,utilities,2026-08-23T13:40:56+00:00,13,6,pending
merchant_swiftgear,411.5,EUR,payment,netbanking,customer_6752,groceries,2026-08-15T01:20:24+00:00,1,5,pending
merchant_techhive,944.39,USD,refund,card,customer_1615,travel,2026-08-19T17:10:42+00:00,17,2,successful
merchant_greenleaf,1240.27,INR,payment,netbanking,customer_8922,office_supplies,2026-08-25T05:38:04+00:00,5,1,successful
merchant_daily_grind_cafe,2145.67,EUR,payment,netbanking,customer_2270,office_supplies,2026-08-16T22:42:50+00:00,22,6,pending
merchant_pixel_studio,85.34,EUR,payment,bank_transfer,customer_8953,office_supplies,2026-08-24T01:19:46+00:00,1,0,successful
merchant_freshbite,186.65,EUR,payment,wallet,customer_2537,utilities,2026-08-17T22:01:21+00:00,22,0,successful
merchant_greenleaf,1603.72,USD,expense,wallet,customer_6639,electronics,2026-08-13T06:51:07+00:00,6,3,successful
merchant_pixel_studio,2460.34,EUR,payment,wallet,customer_9849,food_delivery,2026-08-12T07:20:55+00:00,7,2,successful
merchant_techhive,88.36,EUR,payment,upi,customer_3313,office_supplies,2026-08-20T03:37:13+00:00,3,3,successful
merchant_swiftgear,631.69,INR,payment,upi,customer_2122,groceries,2026-08-17T16:15:50+00:00,16,0,successful
merchant_greenleaf,1416.8,EUR,payment,netbanking,customer_2773,utilities,2026-08-08T05:27:10+00:00,5,5,successful
merchant_swiftgear,2131.16,USD,payment,upi,customer_8255,utilities,2026-08-08T03:04:36+00:00,3,5,successful
merchant_urbancart,2447.38,EUR,payment,bank_transfer,customer_2724,travel,2026-08-17T10:25:35+00:00,10,0,pending
merchant_bluewave,904.46,EUR,payment,bank_transfer,customer_8377,food_delivery,2026-07-31T19:06:21+00:00,19,4,successful
merchant_urbancart,956.75,INR,payment,upi,customer_5766,marketing,2026-08-07T01:04:31+00:00,1,4,successful
merchant_daily_grind_cafe,1505.98,USD,payment,upi,customer_1845,electronics,2026-08-09T14:51:58+00:00,14,6,successful
merchant_pixel_studio,483.95,INR,payment,bank_transfer,customer_7567,office_supplies,2026-07-31T18:24:11+00:00,18,4,pending
merchant_freshbite,370.25,USD,payment,bank_transfer,customer_8028,groceries,2026-08-05T08:20:04+00:00,8,2,successful
merchant_swiftgear,1536.14,EUR,refund,bank_transfer,customer_9460,marketing,2026-08-10T14:43:10+00:00,14,0,successful
merchant_techhive,1028.33,USD,payment,upi,customer_8900,electronics,2026-07-27T23:56:03+00:00,23,0,successful
merchant_swiftgear,50.77,EUR,payment,netbanking,customer_3571,groceries,2026-07-28T08:16:14+00:00,8,1,successful
merchant_swiftgear,1463.4,EUR,payment,upi,customer_8856,software_subscription,2026-07-30T15:27:14+00:00,15,3,successful
merchant_daily_grind_cafe,22.75,USD,payment,netbanking,customer_4753,groceries,2026-08-08T05:15:26+00:00,5,5,successful
merchant_techhive,513.12,USD,payment,bank_transfer,customer_5063,office_supplies,2026-08-19T15:53:16+00:00,15,2,successful
merchant_swiftgear,1907.6,USD,payment,netbanking,customer_8768,utilities,2026-08-03T11:11:54+00:00,11,0,successful
merchant_freshbite,920.07,USD,refund,card,customer_2221,groceries,2026-08-20T18:00:52+00:00,18,3,successful
merchant_greenleaf,193.84,USD,payment,netbanking,customer_5392,software_subscription,2026-08-20T08:57:46+00:00,8,3,successful
merchant_techhive,1760.86,USD,payment,bank_transfer,customer_6735,marketing,2026-08-02T10:35:41+00:00,10,6,successful
merchant_freshbite,140.5,USD,payment,wallet,customer_1932,electronics,2026-08-21T09:18:52+00:00,9,4,successful
merchant_urbancart,1027.69,USD,refund,bank_transfer,customer_3496,groceries,2026-07-29T10:48:20+00:00,10,2,failed
merchant_freshbite,829.03,INR,payment,bank_transfer,customer_1654,electronics,2026-08-18T02:28:06+00:00,2,1,pending
merchant_swiftgear,2278.82,EUR,payment,card,customer_6340,office_supplies,2026-08-09T03:39:07+00:00,3,6,successful
merchant_greenleaf,1511.6,EUR,payment,upi,customer_5953,groceries,2026-07-30T05:28:01+00:00,5,3,successful
merchant_freshbite,346.06,INR,payment,netbanking,customer_6048,food_delivery,2026-08-05T11:51:35+00:00,11,2,successful
merchant_freshbite,1370.58,EUR,payment,card,customer_3196,electronics,2026-08-05T12:58:38+00:00,12,2,successful
merchant_daily_grind_cafe,1887.61,EUR,payment,upi,customer_1982,food_delivery,2026-08-25T11:40:45+00:00,11,1,successful
merchant_greenleaf,2010.78,USD,payment,netbanking,customer_4353,utilities,2026-08-22T03:54:23+00:00,3,5,successful
merchant_swiftgear,11.71,EUR,payment,wallet,customer_9312,office_supplies,2026-08-02T10:07:06+00:00,10,6,successful
merchant_freshbite,845.84,EUR,chargeback,wallet,customer_9002,office_supplies,2026-08-09T15:09:55+00:00,15,6,pending
merchant_greenleaf,692.33,INR,expense,card,customer_2265,utilities,2026-08-23T01:41:57+00:00,1,6,successful
merchant_pixel_studio,1274.92,EUR,payment,card,customer_5680,electronics,2026-07-31T13:40:48+00:00,13,4,successful
merchant_daily_grind_cafe,2427.7,USD,payment,bank_transfer,customer_7890,utilities,2026-08-16T22:59:37+00:00,22,6,successful
merchant_greenleaf,258.9,EUR,payment,wallet,customer_5375,marketing,2026-08-09T12:46:53+00:00,12,6,pending
merchant_freshbite,497.26,USD,refund,upi,customer_7660,travel,2026-08-12T10:26:35+00:00,10,2,successful
merchant_greenleaf,2355.94,EUR,payment,netbanking,customer_2798,food_delivery,2026-08-14T23:56:08+00:00,23,4,failed
merchant_swiftgear,1099.87,INR,payment,upi,customer_4566,marketing,2026-08-15T21:53:45+00:00,21,5,successful
merchant_freshbite,981.65,USD,payment,upi,customer_7010,food_delivery,2026-08-22T20:17:47+00:00,20,5,successful
merchant_bluewave,46.47,INR,payment,card,customer_7546,travel,2026-08-14T11:53:53+00:00,11,4,failed
merchant_techhive,2121.7,EUR,refund,card,customer_8777,groceries,2026-08-24T21:26:53+00:00,21,0,pending
merchant_swiftgear,2457.87,INR,refund,netbanking,customer_3855,travel,2026-08-07T22:06:21+00:00,22,4,successful
merchant_greenleaf,637.01,INR,refund,card,customer_8511,software_subscription,2026-08-24T06:30:08+00:00,6,0,successful
merchant_daily_grind_cafe,2480.69,USD,payment,wallet,customer_4350,travel,2026-07-31T07:37:33+00:00,7,4,successful
merchant_freshbite,402.78,INR,payment,bank_transfer,customer_1088,food_delivery,2026-08-08T08:34:00+00:00,8,5,successful
merchant_bluewave,1468.68,INR,refund,upi,customer_8479,electronics,2026-08-11T02:57:25+00:00,2,1,successful
merchant_urbancart,158.18,EUR,payment,wallet,customer_1484,travel,2026-07-31T01:05:23+00:00,1,4,successful
merchant_bluewave,632.32,USD,payment,bank_transfer,customer_6139,utilities,2026-08-11T23:07:38+00:00,23,1,pending
merchant_freshbite,967.68,EUR,payment,bank_transfer,customer_5911,travel,2026-08-08T03:58:52+00:00,3,5,successful
merchant_swiftgear,195.75,EUR,payment,netbanking,customer_9619,utilities,2026-08-02T05:05:41+00:00,5,6,successful
merchant_freshbite,124.48,EUR,payment,upi,customer_2417,groceries,2026-08-06T17:01:42+00:00,17,3,pending
merchant_techhive,1353.4,EUR,payment,netbanking,customer_3368,food_delivery,2026-08-02T16:15:30+00:00,16,6,successful
merchant_bluewave,156.92,USD,payment,netbanking,customer_9434,marketing,2026-08-11T21:18:16+00:00,21,1,successful
merchant_bluewave,770.07,INR,payment,wallet,customer_2167,marketing,2026-08-18T22:14:02+00:00,22,1,successful
merchant_bluewave,2188.3,EUR,payment,card,customer_2249,utilities,2026-08-11T09:54:45+00:00,9,1,successful
merchant_pixel_studio,497.12,INR,refund,netbanking,customer_8173,groceries,2026-07-29T20:06:38+00:00,20,2,successful
merchant_techhive,1184.54,EUR,chargeback,netbanking,customer_9465,marketing,2026-08-18T21:46:00+00:00,21,1,successful
merchant_greenleaf,1783.9,EUR,payment,wallet,customer_8286,electronics,2026-08-18T17:30:12+00:00,17,1,successful
merchant_freshbite,2139.35,EUR,refund,upi,customer_1172,food_delivery,2026-08-06T12:24:00+00:00,12,3,successful
merchant_techhive,2175.02,EUR,payment,netbanking,customer_9696,office_supplies,2026-08-04T02:13:31+00:00,2,1,failed
merchant_freshbite,2054.02,USD,payment,bank_transfer,customer_2171,office_supplies,2026-08-25T18:50:42+00:00,18,1,successful
merchant_freshbite,1436.57,USD,refund,wallet,customer_8279,travel,2026-08-08T22:20:17+00:00,22,5,successful
merchant_techhive,1970.08,EUR,payment,card,customer_9355,marketing,2026-08-02T14:01:38+00:00,14,6,pending
merchant_daily_grind_cafe,2276.65,INR,payment,wallet,customer_3390,office_supplies,2026-07-31T03:16:38+00:00,3,4,pending
merchant_techhive,1421.2,USD,payment,upi,customer_3446,travel,2026-08-09T17:32:35+00:00,17,6,successful
merchant_freshbite,1077.59,USD,payment,upi,customer_6609,software_subscription,2026-08-26T15:10:36+00:00,15,2,successful
merchant_freshbite,140.37,EUR,payment,wallet,customer_4918,software_subscription,2026-08-03T07:05:40+00:00,7,0,successful
merchant_greenleaf,809.61,EUR,payment,wallet,customer_5118,groceries,2026-08-25T10:01:13+00:00,10,1,successful
merchant_pixel_studio,233.78,EUR,payment,netbanking,customer_5267,travel,2026-08-05T12:33:57+00:00,12,2,successful
merchant_swiftgear,2351.48,EUR,payment,card,customer_9790,software_subscription,2026-08-25T15:57:04+00:00,15,1,failed
merchant_techhive,2106.86,INR,payment,netbanking,customer_6301,travel,2026-08-05T09:32:18+00:00,9,2,successful
merchant_daily_grind_cafe,1714.41,EUR,chargeback,card,customer_7597,food_delivery,2026-08-08T13:09:10+00:00,13,5,pending
merchant_techhive,658.49,EUR,payment,bank_transfer,customer_3887,software_subscription,2026-08-08T00:03:44+00:00,0,5,failed
merchant_daily_grind_cafe,1056.0,INR,expense,wallet,customer_6251,utilities,2026-08-02T15:38:49+00:00,15,6,successful
merchant_urbancart,2003.4,USD,payment,netbanking,customer_3664,groceries,2026-08-24T09:09:52+00:00,9,0,failed
merchant_techhive,984.74,EUR,payment,upi,customer_6799,food_delivery,2026-08-16T19:45:43+00:00,19,6,successful
merchant_pixel_studio,63.62,USD,expense,wallet,customer_8250,office_supplies,2026-07-30T22:50:21+00:00,22,3,successful
merchant_pixel_studio,1717.16,EUR,payment,bank_transfer,customer_1578,utilities,2026-08-07T14:16:51+00:00,14,4,successful
merchant_swiftgear,112.55,EUR,refund,bank_transfer,customer_5636,office_supplies,2026-08-18T09:14:52+00:00,9,1,successful
merchant_freshbite,1188.17,INR,payment,card,customer_9757,software_subscription,2026-08-01T16:29:16+00:00,16,5,successful
merchant_urbancart,745.57,USD,payment,wallet,customer_2528,marketing,2026-08-07T17:33:12+00:00,17,4,successful
merchant_techhive,729.54,INR,payment,upi,customer_8846,food_delivery,2026-08-16T00:28:41+00:00,0,6,successful
merchant_urbancart,2266.89,INR,expense,bank_transfer,customer_7479,groceries,2026-08-20T06:17:06+00:00,6,3,successful
merchant_pixel_studio,2163.3,INR,payment,bank_transfer,customer_9426,office_supplies,2026-08-07T06:11:03+00:00,6,4,failed
merchant_greenleaf,2035.96,INR,payment,bank_transfer,customer_8532,food_delivery,2026-08-08T03:17:33+00:00,3,5,successful
merchant_pixel_studio,776.06,USD,chargeback,bank_transfer,customer_6194,groceries,2026-08-06T11:44:26+00:00,11,3,successful
merchant_pixel_studio,1717.58,EUR,chargeback,card,customer_9639,travel,2026-08-06T04:08:24+00:00,4,3,failed
merchant_greenleaf,1350.73,EUR,payment,bank_transfer,customer_1427,electronics,2026-08-08T04:10:01+00:00,4,5,failed
merchant_daily_grind_cafe,1034.93,EUR,payment,card,customer_7569,groceries,2026-07-29T03:40:41+00:00,3,2,successful
merchant_urbancart,1709.39,EUR,payment,upi,customer_9976,marketing,2026-07-29T08:40:22+00:00,8,2,successful
merchant_bluewave,1761.84,USD,refund,upi,customer_3676,travel,2026-08-06T06:56:09+00:00,6,3,successful
merchant_pixel_studio,1310.59,USD,refund,bank_transfer,customer_9653,food_delivery,2026-08-06T12:10:08+00:00,12,3,successful
merchant_freshbite,2334.72,EUR,payment,bank_transfer,customer_1412,travel,2026-08-13T18:46:29+00:00,18,3,successful
merchant_greenleaf,101.64,USD,payment,netbanking,customer_9297,groceries,2026-08-13T17:31:57+00:00,17,3,failed
merchant_urbancart,2146.03,INR,refund,wallet,customer_1666,travel,2026-08-18T15:15:21+00:00,15,1,failed
merchant_freshbite,1826.91,EUR,payment,card,customer_2597,food_delivery,2026-08-19T17:43:26+00:00,17,2,successful
merchant_daily_grind_cafe,324.11,EUR,payment,card,customer_3731,electronics,2026-08-25T11:54:09+00:00,11,1,pending
merchant_bluewave,136.43,INR,payment,bank_transfer,customer_8598,software_subscription,2026-08-08T16:20:50+00:00,16,5,successful
merchant_daily_grind_cafe,461.82,INR,expense,netbanking,customer_4278,electronics,2026-08-01T12:54:13+00:00,12,5,successful
merchant_pixel_studio,1159.64,INR,payment,netbanking,customer_8678,travel,2026-08-17T18:46:25+00:00,18,0,successful
